************* Module test_file
test_file.py:616:0: C0305: Trailing newlines (trailing-newlines)
test_file.py:8:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:9:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:10:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:11:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:12:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:13:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:14:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:15:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:16:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:17:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:18:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:19:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:20:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:21:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:22:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:23:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:24:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:25:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:26:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:27:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:28:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:29:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:30:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:31:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:32:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:33:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:34:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:35:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:36:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:37:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:38:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:39:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:40:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:41:4: W0107: Unnecessary pass statement (unnecessary-pass)
